email,uid
codexapi17782720580002@weex.com,1628754044
codexapi17782720580003@weex.com,8017053284
codexapi17782720580004@weex.com,9212356886
codexapi17782720580005@weex.com,5655767324
codexapi17782720580006@weex.com,6754257431
codexapi17782720580007@weex.com,7399259139
codexapi177827205800011@weex.com,9414773763
codexapi177827205800012@weex.com,3182162945
codexapi177827205800013@weex.com,1814825350
codexapi177827205800015@weex.com,5306657163
codexapi177827205800016@weex.com,7246485788
codexapi177827205800018@weex.com,2792210714
codexapi177827205800019@weex.com,4119630798
codexapi177827205800020@weex.com,5907994056
codexapi177827205800021@weex.com,7064731404
codexapi177827205800022@weex.com,9553011645
codexapi177827205800026@weex.com,8121170313
codexapi177827205800027@weex.com,3308298938
codexapi177827205800028@weex.com,6353782078
codexapi177827205800029@weex.com,6728710143
codexapi177827205800033@weex.com,1056648288
codexapi177827205800034@weex.com,9665651403
codexapi177827205800035@weex.com,2846179675
codexapi177827205800036@weex.com,6633408155
codexapi177827205800039@weex.com,2917681948
codexapi177827205800041@weex.com,8074277875
codexapi177827205800042@weex.com,6987001663
codexapi177827205800043@weex.com,5789219812
codexapi177827205800044@weex.com,9504377061
codexapi177827205800045@weex.com,6370835065
codexapi177827205800047@weex.com,1529061085
codexapi177827205800051@weex.com,8497013378
codexapi177827205800053@weex.com,4923802500
codexapi177827205800054@weex.com,7659897818
codexapi177827205800056@weex.com,5365899425
codexapi177827205800059@weex.com,4888031905
codexapi177827205800060@weex.com,1013287410
codexapi177827205800061@weex.com,7916793545
codexapi177827205800066@weex.com,4357648171
codexapi177827205800067@weex.com,8349491343
codexapi177827205800068@weex.com,3152934810
codexapi177827205800071@weex.com,5370847724
codexapi177827205800072@weex.com,3428353985
codexapi177827205800074@weex.com,5019141091
codexapi177827205800075@weex.com,8547680564
codexapi177827205800077@weex.com,1804828711
codexapi177827205800078@weex.com,8322199939
codexapi177827205800079@weex.com,8395870390
codexapi177827205800081@weex.com,8167182628
codexapi177827205800082@weex.com,3520443718
codexapi177827205800083@weex.com,8609263903
codexapi177827205800084@weex.com,2461607950
codexapi177827205800085@weex.com,2303390773
codexapi177827205800087@weex.com,6206615863
codexapi177827205800088@weex.com,1188265589
codexapi177827205800089@weex.com,1424682639
codexapi177827205800090@weex.com,2549099303
codexapi177827205800092@weex.com,4299089518
codexapi177827205800093@weex.com,8709701349
codexapi177827205800094@weex.com,9452600019
codexapi177827205800095@weex.com,6411262410
codexapi177827205800096@weex.com,1869157444
codexapi177827205800097@weex.com,8956824422
codexapi177827205800098@weex.com,5568051063
codexapi177827205800099@weex.com,4733293049
codexapi1778272089405r1@weex.com,3621763246
codexapi1778272089405r2@weex.com,1244697320
codexapi1778272089405r3@weex.com,7367801417
codexapi1778272089405r4@weex.com,2385095241
codexapi1778272089405r5@weex.com,5991527960
codexapi1778272089405r6@weex.com,7702941480
codexapi1778272089405r7@weex.com,1990628842
codexapi1778272089405r8@weex.com,4928517426
codexapi1778272089405r9@weex.com,5523928959
codexapi1778272089405r10@weex.com,4781326535
codexapi1778272089405r11@weex.com,8532505669
codexapi1778272089405r12@weex.com,8268861294
codexapi1778272089405r13@weex.com,1234482972
codexapi1778272089405r14@weex.com,7928214803
codexapi1778272089405r15@weex.com,6390085923
codexapi1778272089405r16@weex.com,9307894718
codexapi1778272089405r17@weex.com,4264041841
codexapi1778272089405r18@weex.com,3814585208
codexapi1778272089405r19@weex.com,5385979272
codexapi1778272089405r20@weex.com,5137002928
codexapi1778272089405r21@weex.com,6396169903
codexapi1778272089405r22@weex.com,5176290350
codexapi1778272089405r23@weex.com,6042257912
codexapi1778272089405r24@weex.com,3887838641
codexapi1778272089405r25@weex.com,3974483616
codexapi1778272089405r26@weex.com,7938988727
codexapi1778272089405r27@weex.com,2641745258
codexapi1778272089405r28@weex.com,1547174969
codexapi1778272089405r29@weex.com,9878896845
codexapi1778272089405r30@weex.com,1453141119
codexapi1778272089405r31@weex.com,6493568726
codexapi1778272089405r32@weex.com,4864630969
codexapi1778272089405r33@weex.com,2479537389
codexapi1778272089405r34@weex.com,2194018145
codexapi1778272089405r35@weex.com,2766689349
